0:35, 2965, 1031, 1025, 8039, 5505, 5904, 8075, 1004, 8243, 
1:2752, 507, 5971, 3467, 285, 4104, 2111, 6103, 7491, 7885, 
2:1495, 1712, 492, 4818, 727, 2825, 1448, 542, 1604, 7530, 
3:5828, 3912, 5879, 439, 560, 427, 1133, 352, 227, 96, 
4:7289, 7902, 6356, 8623, 5106, 4232, 2946, 7126, 7772, 7028, 
5:5988, 4009, 2060, 1767, 5783, 6852, 5824, 3231, 1118, 7972, 
6:4011, 1628, 3744, 1024, 6703, 6022, 5333, 8363, 5773, 217, 
7:3492, 3725, 1985, 2815, 3394, 998, 2906, 1011, 1043, 1915, 
8:5715, 5442, 4338, 1872, 8633, 5896, 644, 1501, 4171, 2232, 
9:7652, 2082, 7338, 2579, 5971, 1875, 7314, 4514, 4461, 6197, 
10:4835, 1913, 5220, 3656, 1155, 782, 1800, 5981, 2992, 507, 
11:3975, 6796, 704, 1904, 359, 118, 7204, 7593, 7244, 6454, 
12:3329, 2926, 798, 1027, 1929, 480, 3929, 3666, 7194, 1780, 
13:613, 4800, 7375, 2375, 4758, 7662, 2446, 4966, 7552, 454, 
14:7075, 7795, 4323, 858, 8617, 7920, 8177, 7529, 7555, 1314, 
15:7714, 6096, 255, 7337, 3264, 1900, 7199, 1026, 504, 6684, 
16:1999, 3388, 1967, 3346, 3280, 6000, 6207, 4106, 3133, 7815, 
17:1909, 1462, 1050, 1948, 994, 91, 2995, 1013, 980, 6811, 
18:7765, 5878, 5672, 6804, 653, 3408, 4520, 3884, 3330, 429, 
19:1040, 2961, 7561, 6385, 4132, 1890, 6070, 114, 178, 2958, 
20:66, 5312, 3908, 2952, 7577, 4899, 7504, 7322, 438, 8216, 
21:7950, 1798, 6475, 2032, 463, 5690, 7990, 5054, 1494, 1590, 
22:7137, 6980, 7015, 4718, 7001, 7422, 7119, 7276, 7380, 4969, 
23:1025, 2965, 1031, 1008, 6702, 1004, 6960, 35, 6804, 4920, 
24:1259, 5605, 379, 5912, 1078, 1888, 1367, 7372, 2757, 6746, 
25:2404, 1057, 7249, 1041, 3428, 843, 4877, 4894, 4895, 4857, 
26:8309, 6967, 3826, 7210, 3747, 2160, 7554, 4210, 3501, 2073, 
27:7597, 3753, 4528, 7431, 2225, 6748, 7741, 3916, 5159, 5478, 
28:7737, 231, 420, 4140, 1630, 4639, 8523, 863, 4821, 336, 
29:68, 1041, 2704, 4857, 2404, 5614, 5825, 3942, 7769, 2136, 
30:495, 1251, 5081, 492, 749, 1741, 1379, 3877, 1390, 6884, 
31:3956, 7744, 3640, 1198, 4872, 5598, 7396, 7972, 5031, 2398, 
32:3917, 3353, 7684, 8538, 8544, 1168, 8548, 1610, 8230, 4849, 
33:6025, 6653, 6512, 7728, 2140, 206, 693, 8052, 6749, 2741, 
34:6149, 8518, 2774, 6745, 4978, 2686, 6568, 3961, 3022, 1377, 
35:1031, 2965, 1004, 1826, 0, 1025, 924, 285, 7008, 5635, 
36:2768, 6021, 3507, 1726, 6638, 3655, 1439, 6374, 7861, 7701, 
37:1074, 1872, 2489, 4870, 5417, 8417, 1501, 6846, 6625, 1354, 
38:5443, 73, 1883, 510, 4634, 7441, 8242, 3925, 1695, 1699, 
39:7395, 8013, 3565, 5481, 236, 5597, 2489, 8535, 6451, 8518, 
40:5164, 2400, 1390, 5283, 5366, 6861, 5653, 1615, 5641, 1053, 
41:2067, 4061, 7085, 370, 5035, 3412, 6485, 4675, 6608, 5756, 
42:1948, 2844, 1050, 1462, 2996, 1969, 980, 1915, 1909, 6474, 
43:3789, 8180, 1351, 612, 6847, 6273, 5031, 4424, 8383, 1038, 
44:5851, 5063, 4910, 1589, 2483, 8623, 2215, 7105, 4481, 5566, 
45:5347, 2141, 1841, 2835, 3370, 4054, 8168, 3831, 3424, 2472, 
46:3294, 8086, 2127, 1696, 6426, 5974, 5838, 2441, 1925, 1791, 
47:1946, 4754, 7530, 2977, 4430, 7001, 1896, 3649, 1712, 4969, 
48:852, 4120, 2294, 1949, 3079, 2140, 6892, 7779, 2351, 6451, 
49:279, 6091, 7118, 2219, 3185, 4141, 4222, 3405, 1695, 1699, 
50:1475, 1334, 4935, 7574, 1718, 8392, 3500, 4792, 5189, 2662, 
51:1010, 6769, 6104, 7318, 5309, 6321, 8580, 6665, 6534, 8192, 
52:1033, 5748, 3873, 3942, 68, 6106, 810, 3939, 705, 3017, 
53:1202, 8242, 3693, 1008, 2495, 8475, 6092, 3639, 136, 4478, 
54:4530, 3954, 1891, 286, 6202, 7555, 7795, 8625, 858, 2474, 
55:2781, 875, 5174, 4200, 4116, 7051, 3986, 1787, 8599, 4111, 
